************* New Request *************
08/03/2025 19:27:08 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:11 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:15 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:16 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:16 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:17 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:17 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:18 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:18 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:18 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:28:53 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:10 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:37 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:41 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:42 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:50 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:51 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:51 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:51 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:52 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:29:53 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:30:09 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:30:51 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:30:55 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:30:55 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:31:12 Request: 010003FF0104F9
************* New Request *************
08/03/2025 19:34:38 Request: 010003FF0104F9
08/03/2025 19:34:38 Response2: 06
08/03/2025 19:34:38 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:34:38 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:34:39 Response1.4: 06
************* New Request *************
08/03/2025 19:45:11 Request: 010003FF0104F9
08/03/2025 19:45:11 Response2: 06
08/03/2025 19:45:12 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:45:12 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:45:12 Response1.4: 06
08/03/2025 19:45:13 Response3: 010002454F0801000245397E
************* New Request *************
08/03/2025 19:45:32 Request: 010003FF0104F9
08/03/2025 19:45:32 Response2: 06
08/03/2025 19:45:32 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:45:32 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:45:32 Response1.4: 06
************* New Request *************
08/03/2025 19:52:33 Request: 010003FF0104F9
08/03/2025 19:52:33 Response2: 06
08/03/2025 19:52:33 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:52:34 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:52:34 Response1.4: 06
************* New Request *************
08/03/2025 19:56:30 Request: 010003FF0104F9
08/03/2025 19:56:30 Response2: 06
08/03/2025 19:56:30 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:56:30 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:56:31 Response1.4: 06
************* New Request *************
08/03/2025 19:58:59 Request: 010003FF0104F9
08/03/2025 19:58:59 Response2: 06
08/03/2025 19:58:59 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 19:58:59 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 19:59:00 Response1.4: 06
************* New Request *************
08/03/2025 20:00:32 Request: 010003FF0104F9
08/03/2025 20:00:32 Response2: 06
08/03/2025 20:00:32 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:00:33 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:00:33 Response1.4: 06
************* New Request *************
08/03/2025 20:01:28 Request: 010003FF0104F9
08/03/2025 20:01:28 Response2: 06
08/03/2025 20:01:28 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:01:28 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:01:29 Response1.4: 06
************* New Request *************
08/03/2025 20:07:12 Request: 010003FF0104F9
08/03/2025 20:07:13 Response2: 06
08/03/2025 20:07:13 Response1.1: 0100085A0104DF850230300F
